data.HuGene.2_0.v1.091906_4905_Pool1_a.CEL	data.HuGene.2_0.v1.091906_4905_Pool2_a.CEL	data.HuGene.2_0.v1.091906_4905_Pool3_a.CEL	data.HuGene.2_0.v1.091906_4905_Pool4_a.CEL	data.HuGene.2_0.v1.091906_4905_Pool5_a.CEL	data.HuGene.2_0.v1.091906_4905_Pool6_a.CEL	data.HuGene.2_0.v1.091906_4905_Pool7_a.CEL	data.HuGene.2_0.v1.092006_4905_Pool1_b.CEL	data.HuGene.2_0.v1.092006_4905_Pool1_c.CEL	data.HuGene.2_0.v1.092006_4905_Pool2_b.CEL	data.HuGene.2_0.v1.092006_4905_Pool2_c.CEL	data.HuGene.2_0.v1.092006_4905_Pool3_b.CEL	data.HuGene.2_0.v1.092006_4905_Pool3_c.CEL	data.HuGene.2_0.v1.092006_4905_Pool4_b.CEL	data.HuGene.2_0.v1.092006_4905_Pool4_c.CEL	data.HuGene.2_0.v1.092006_4905_Pool5_b.CEL	data.HuGene.2_0.v1.092006_4905_Pool5_c.CEL	data.HuGene.2_0.v1.092006_4905_Pool6_b.CEL	data.HuGene.2_0.v1.092006_4905_Pool6_c.CEL	data.HuGene.2_0.v1.092006_4905_Pool7_b.CEL	data.HuGene.2_0.v1.092006_4905_Pool7_c.CEL
1644	232.19	306.381	270.905	259.381	320.381	235.619	309.952	288.048	374.524	259.619	352.19	323.333	237.476	216.238	268.476	246.429	227.571	240.81	240.238	279.905	329.619
1645	273.381	294.095	239.429	308.476	353.571	282.238	280.667	258.667	300	317.143	306.714	312.476	188.429	198.571	240.81	279.19	284.952	275.095	216.048	257.381	340.381
1646	356.095	334.762	353.19	229.095	318.476	267.952	385.762	267.714	386.048	317.143	359.714	342.905	292.286	326.762	216.238	257.667	271.524	329.095	308.286	264.333	376.524
1647	188.381	174.048	102	115.333	273.19	167.286	280.667	214.095	242.952	148.619	204.905	225.429	211.476	257.571	103	215.952	195.619	154	168.762	208.857	160.19
1648	76.7143	66.0952	76.8095	52.3333	48	63.2857	72.1429	91.7143	72.7619	84.8095	53.381	82.5714	66	64.0476	89.0952	49.4762	65.2381	62.8571	67.0952	113.048	92.1429
1649	94.6667	70.5238	43.6667	60.9048	46.2381	33.8571	121.095	64.1429	74.8571	44.619	47.1905	78.4762	37.381	38.9524	45.1905	41.1905	68.7619	78.9048	38.2857	94.1905	73.0952
1650	99.9048	84	73.6667	61.7143	55.9048	64.381	137.619	47.2381	110.381	62.2381	88.3333	75.9524	59.8095	65.0952	61.3333	58.0476	79.1905	49.7143	69.4762	131.81	155.333
1651	423.905	319.619	229.762	213.095	271.476	170.476	576.81	452.714	461.952	271.333	377.619	239.429	273.81	209.714	238.571	268.952	374.238	268.762	204.286	495.619	550.857
1652	263.524	225.524	239.429	203.619	186.762	174.524	495.286	351.19	312.238	257.667	285.524	197.524	216.952	202.952	227.524	146.333	170.19	144.857	129.762	506.762	515.286
1653	829.238	631.857	955.286	734	808.429	661.762	1125.05	855.952	901.619	621.095	712.952	765.81	558.762	599.333	646.905	717.476	667.476	763.857	514.333	1160.95	1087.14
